region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,Villa Luro,99000.0,60.0,,3.0,2300.0,http://villa-luro.properati.com.ar/ysbw_venta_departamentos_villa-luro_mazur-arquitectura-inmobiliaria,-34.6392485,-58.497526
Capital Federal,Parque Centenario,80000.0,35.0,2.0,2.0,,http://parque-centenario.properati.com.ar/10vn1_venta_departamentos_caballito_balcon_parrilla_piscina_sum_amenities_estrenar_re-max-bur-oacute,-34.606301,-58.43106
Capital Federal,Balvanera,180000.0,96.0,5.0,,1500.0,http://balvanera.properati.com.ar/r7dy_venta_departamentos_balvanera_ecuador_500,-34.6031837,-58.4074928
Capital Federal,Parque Chas,78000.0,36.0,1.0,1.0,,http://parque-chas.properati.com.ar/u8gz_venta_departamentos_parque-chas,-34.583899,-58.473468
Capital Federal,Parque Centenario,125000.0,45.0,,2.0,,http://parque-centenario.properati.com.ar/10axj_venta_departamentos_parque-centenario_balcon_parrilla_patio_terraza_lujoso_migliorisi-propiedades_cy0,-34.60808733,-58.43089266
Capital Federal,Palermo,142000.0,52.0,3.0,2.0,,http://palermo.properati.com.ar/12hxs_venta_departamentos_palermo_lavadero_luminoso_amenities_re-max-premium,-34.591831,-58.422868
Capital Federal,San Cristobal,120000.0,53.0,,2.0,2500.0,http://san-cristobal.properati.com.ar/12vwy_venta_departamentos_san-cristobal_subte-linea-e_marenco-propiedades,-34.6200825,-58.3895203
Capital Federal,Villa del Parque,94900.0,43.0,5.0,2.0,,http://villa-del-parque.properati.com.ar/12t6h_venta_departamentos_villa-del-parque_lavadero_parrilla_lujoso_garage_laurenzano-propiedades,-34.6128601,-58.4922702
Capital Federal,Nuñez,146000.0,47.0,,2.0,,http://nunez.properati.com.ar/10gst_venta_departamentos_nunez_balcon_suite_vestidor_luminoso_garage_losa-radiante_meet-invest-re,-34.5495227,-58.4692294
Capital Federal,Villa Crespo,143000.0,60.0,,,,http://villa-crespo.properati.com.ar/y25m_venta_departamentos_villa-crespo_patio_luminoso_placard_aire-acondicionado_sefer-propiedades,-34.5957216,-58.4307706
